"","town","townUK","latuk","lonuk","lat","lon","geom"
"1","Aachen","Halifax, West Yorkshire",53.725,-1.863,50.7833,6.0833,"LINESTRING (-1.863 53.725, 6.0833 50.7833)"
"3","Aalen","Christchurch, Dorset",50.73,-1.78,48.8333,10.1,"LINESTRING (-1.78 50.73, 10.1 48.8333)"
"4","Abbeville","Burgess Hill",50.9535,-0.1262,50.1058,1.8358,"LINESTRING (-0.1262 50.9535, 1.8358 50.1058)"
"6","Achim, Wolfenbüttel","Launceston, Cornwall",50.635,-4.354,52.0606,10.6117,"LINESTRING (-4.354 50.635, 10.6117 52.0606)"
"7","Agen","Llanelli",51.684,-4.163,44.2049,0.6212,"LINESTRING (-4.163 51.684, 0.6212 44.2049)"
"11","Albert, Somme","Ulverston",54.193,-3.09,50.0028,2.6528,"LINESTRING (-3.09 54.193, 2.6528 50.0028)"
"16","Alcalá de Henares","Peterborough",52.5833,-0.25,40.4667,-3.3667,"LINESTRING (-0.25 52.5833, -3.3667 40.4667)"
"17","Alençon","Basingstoke and Deane",51.256,-1.111,48.4306,0.0931,"LINESTRING (-1.111 51.256, 0.0931 48.4306)"
"19","Alfeld","Wakefield",53.6801,-1.492,51.9886,9.8269,"LINESTRING (-1.492 53.6801, 9.8269 51.9886)"
"20","Algiers","City of London",51.5155,-0.0922,36.7667,3.2167,"LINESTRING (-0.0922 51.5155, 3.2167 36.7667)"
"21","Alkmaar","Bath, Somerset",51.38,-2.36,52.6333,4.75,"LINESTRING (-2.36 51.38, 4.75 52.6333)"
"23","Almelo","Preston, Lancashire",53.759,-2.699,52.35,6.6667,"LINESTRING (-2.699 53.759, 6.6667 52.35)"
"24","Alsfeld","New Mills",53.367,-2.007,50.7511,9.2711,"LINESTRING (-2.007 53.367, 9.2711 50.7511)"
"29","Altena","Blackburn",53.7449,-2.4769,51.3,7.6667,"LINESTRING (-2.4769 53.7449, 7.6667 51.3)"
"30","Altendiez","Burton Latimer",52.365,-0.678,50.3714,7.985,"LINESTRING (-0.678 52.365, 7.985 50.3714)"
"31","Alzey","Harpenden",51.8175,-0.3524,49.7517,8.1161,"LINESTRING (-0.3524 51.8175, 8.1161 49.7517)"
"32","Amfreville, Calvados","Dolton, Devon",50.8833,-4.0333,49.2483,-0.235,"LINESTRING (-4.0333 50.8833, -0.235 49.2483)"
"33","Amiens","Darlington",54.527,-1.5526,49.892,2.299,"LINESTRING (-1.5526 54.527, 2.299 49.892)"
"34","Amstelveen","Woking",51.3162,-0.561,52.3,4.85,"LINESTRING (-0.561 51.3162, 4.85 52.3)"
"35","Amsterdam","Manchester",53.4667,-2.2333,52.3667,4.9,"LINESTRING (-2.2333 53.4667, 4.9 52.3667)"
"36","Ancenis","Kirkham, Lancashire",53.782,-2.87,47.3733,-1.2936,"LINESTRING (-2.87 53.782, -1.2936 47.3733)"
"37","Anchorage, Alaska","Whitby",54.4858,-0.6206,61.2167,-149.9,"LINESTRING (-0.6206 54.4858, -149.9 61.2167)"
"38","Anderlecht","London Borough of Hammersmith and Fulham",51.5,-0.25,50.8333,4.3333,"LINESTRING (-0.25 51.5, 4.3333 50.8333)"
"39","Andernach","Farnham",51.21,-0.8,50.4397,7.4017,"LINESTRING (-0.8 51.21, 7.4017 50.4397)"
"40","Anderson, South Carolina","Carrickfergus",54.716,-5.809,34.5144,-82.6489,"LINESTRING (-5.809 54.716, -82.6489 34.5144)"
"41","Andrésy","Oundle",52.48,-0.472,48.9817,2.0592,"LINESTRING (-0.472 52.48, 2.0592 48.9817)"
"42","Angers","Wigan",53.5448,-2.6318,47.4736,-0.5542,"LINESTRING (-2.6318 53.5448, -0.5542 47.4736)"
"43","Angoulême","Bury",53.593,-2.298,45.65,0.16,"LINESTRING (-2.298 53.593, 0.16 45.65)"
"45","Annapolis, Maryland","Newport, Pembrokeshire",52.0198,-4.8361,38.9729,-76.5012,"LINESTRING (-4.8361 52.0198, -76.5012 38.9729)"
"46","Annecy","Cheltenham",51.8833,-2.0667,45.916,6.133,"LINESTRING (-2.0667 51.8833, 6.133 45.916)"
"47","Annonay","Chelmsford",51.7361,0.4798,45.2408,4.6714,"LINESTRING (0.4798 51.7361, 4.6714 45.2408)"
"51","Ardmore, County Waterford","Ashburton, Devon",50.517,-3.751,51.951,-7.7232,"LINESTRING (-3.751 50.517, -7.7232 51.951)"
"52","Arezzo","Borough of Bedford",52.1344,-0.4631,43.4733,11.87,"LINESTRING (-0.4631 52.1344, 11.87 43.4733)"
"54","Arles","Wisbech",52.6642,0.1603,43.6767,4.6278,"LINESTRING (0.1603 52.6642, 4.6278 43.6767)"
"55","Arlon","Market Drayton",52.9044,-2.4848,49.6833,5.8167,"LINESTRING (-2.4848 52.9044, 5.8167 49.6833)"
"56","Armentières","Stalybridge",53.4834,-2.04,50.6881,2.8811,"LINESTRING (-2.04 53.4834, 2.8811 50.6881)"
"57","Arnhem","London Borough of Croydon",51.3333,-0.0833,51.9833,5.9167,"LINESTRING (-0.0833 51.3333, 5.9167 51.9833)"
"59","Arnhem","Coventry",52.4081,-1.5106,51.9833,5.9167,"LINESTRING (-1.5106 52.4081, 5.9167 51.9833)"
"65","Arnsberg","London Borough of Bexley",51.4167,0.1333,51.3833,8.0833,"LINESTRING (0.1333 51.4167, 8.0833 51.3833)"
"66","Arras","Ipswich",52.0594,1.1556,50.2897,2.7808,"LINESTRING (1.1556 52.0594, 2.7808 50.2897)"
"68","Ashburton, New Zealand","Ashburton, Devon",50.517,-3.751,-43.9056,171.7456,"LINESTRING (-3.751 50.517, 171.7456 -43.9056)"
"71","Aubergenville","Horndean",50.9136,-0.9961,48.959,1.855,"LINESTRING (-0.9961 50.9136, 1.855 48.959)"
"72","Aubers","Wadhurst",51.06,0.34,50.5961,2.8258,"LINESTRING (0.34 51.06, 2.8258 50.5961)"
"73","Audierne","Penryn, Cornwall",50.169,-5.107,48.025,-4.5406,"LINESTRING (-5.107 50.169, -4.5406 48.025)"
"74","Audrieu","Bradworthy",50.89,-4.39,49.21,-0.5922,"LINESTRING (-4.39 50.89, -0.5922 49.21)"
"76","Authie, Calvados","North Baddesley",50.9779,-1.4375,49.2067,-0.4306,"LINESTRING (-1.4375 50.9779, -0.4306 49.2067)"
"77","Autun","Stevenage",51.9,-0.2,46.9517,4.2994,"LINESTRING (-0.2 51.9, 4.2994 46.9517)"
"79","Avignon","Colchester",51.8917,0.903,43.95,4.81,"LINESTRING (0.903 51.8917, 4.81 43.95)"
"81","Avranches","Crediton",50.7924,-3.6514,48.685,-1.3556,"LINESTRING (-3.6514 50.7924, -1.3556 48.685)"
"83","Ay, Marne","Newton Abbot",50.5403,-3.6087,49.0561,4.004,"LINESTRING (-3.6087 50.5403, 4.004 49.0561)"
"84","Azincourt","Middleham",54.2859,-1.8087,50.46,2.13,"LINESTRING (-1.8087 54.2859, 2.13 50.46)"
